,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"Inventory",,,,,,,,,,,,
"MMR14-216624 (DISCONTINUE...20x10 Booster Chrome, 09-up Challenger, 5x115, 24mm o...","Custom Wheel Solutions",1121,"",0,4,0,-4,"X",0,1122,,0
"MMR14-296120 (DISCONTINUE...20x9 Booster Chrome, 2010-up Camaro, 5x120, 20mm offset)","Custom Wheel Solutions",1129,"",2,0,0,2,"X",0,1128,,0
"MMR14-296135 (DISCONTINUE...20x9 Booster Chrome, 93-02 Camaro, 5x4.75, 35mm offset)","Custom Wheel Solutions",1129,"",7,0,0,7,"X",0,1123,,0
"MMR14-296530 (DISCONTINUE...20x9 Booster Chrome, 05-up Mustang, 5x4.50, 30mm offset)","Custom Wheel Solutions",1129,"",11,0,0,11,"X",0,1119,,-0.9
"MMR14-296620 (DISCONTINUE...20x9 Booster Chrome, 09-up Challenger & 05-up Charger...","Custom Wheel Solutions",1129,"",4,4,0,0,"X",0,1126,,0
"MMR14-816135 (DISCONTINUE...18x10 Booster Chrome, 93-02 Camaro, 5x4.75, 35mm offset)","Custom Wheel Solutions",1181,"",0,0,0,0,"X",0,1182,,0
"MMR14-816525 (DISCONTINUE...18x10 Booster Chrome, 94-04 Mustang, 5x4.50, 25mm off...","Custom Wheel Solutions",1181,"",9,0,0,9,"X",0,1173,,0
"MMR14-816540 (DISCONTINUE...18x10 Booster Chrome, 05-up Mustang, 5x4.50, 40mm off...","Custom Wheel Solutions",1181,"",20,0,0,20,"X",0,1162,,0
"MMR14-896135 (DISCONTINUE...18x9 Booster Chrome, 93-02 Camaro, 5x4.75, 35mm offset)","Custom Wheel Solutions",1189,"",16,0,0,16,"X",0,1174,,0
"MMR14-896520 (DISCONTINUE...18x9 Booster Chrome, 94-04 Mustang, 5x4.50, 20mm offset)","Custom Wheel Solutions",1189,"",20,0,0,20,"X",0,1170,,0
"MMR14-896530 (DISCONTINUE...18x9 Booster Chrome, 05-up Mustang, 5x4.50, 30mm offset)","Custom Wheel Solutions",1189,"",30,0,0,30,"X",0,1160,,0.5
"MMR14-896620 (DISCONTINUE...18x9 Booster Chrome, 09-up Challenger, 5x115 mm, 20mm...","Custom Wheel Solutions",1189,"",0,0,0,0,"X",0,1190,,0
"MMR14 (MMR14 - MODERN MUSCLE BOOSTER CHROME) - Other","Custom Wheel Solutions","","",0,0,0,0,,0,0,,0
"Total MMR14 (MMR14 - MODERN MUSCLE BOOSTER CHROME)",,,,159,8,0,151,,0,,,0.1
"MMR16 (MMR16 - MODERN MUSCLE BOOSTER HYPER SHOT)",,,,,,,,,,,,
"MMR16-216130 (DISCONTINUE...20x10 Booster Hyper Shot, 2010-up Camaro, 5x120, 30mm...","Custom Wheel Solutions",1121,"",20,0,0,20,"X",0,1102,,0
"MMR16-216135 (DISCONTINUE...20x10 Booster Hyper Shot, 93-02 Camaro, 5x4.75, 35mm ...","Custom Wheel Solutions",1121,"",1,0,0,1,"X",0,1121,,0.7
"MMR16-216540 (DISCONTINUE...20x10 Booster Hyper Shot, 05-up Mustang, 5x4.50, 40mm...","Custom Wheel Solutions",1121,"",19,0,0,19,"X",0,1103,,0
"MMR16-216624 (DISCONTINUE...20x10 Booster Hyper Shot, 09-up Challenger, 5x115, 24...","Custom Wheel Solutions",1121,"",24,0,0,24,"X",0,1098,,0
"MMR16-296120 (DISCONTINUE...20x9 Booster Hyper Shot, 2010-up Camaro, 5x120, 20mm ...","Custom Wheel Solutions",1129,"",40,0,0,40,"X",0,1090,,0
"MMR16-296135 (DISCONTINUE...20x9 Booster Hyper Shot, 93-02 Camaro, 5x4.75, 35mm o...","Custom Wheel Solutions",1129,"",46,0,0,46,"X",0,1084,,0
"MMR16-296530 (DISCONTINUE...20x9 Booster Hyper Shot, 05-up Mustang, 5x4.50, 30mm ...","Custom Wheel Solutions",1129,"",31,0,0,31,"X",0,1099,,0
